experiment_type,plot_type,dataset,horizon,seed,metric,value
W1,forest_plot,ETTm1,96,13,delta_cka_global,0.0097979465960788
W1,forest_plot,ETTm1,96,13,grad_align_mean_per,0.005591025719037
W1,forest_plot,ETTm1,96,13,grad_align_mean_last,-0.0027159322813961
W1,forest_plot,ETTm1,96,13,delta_grad_align_all,0.008306958000433101
W1,forest_plot,ETTm1,96,17,rmse_per,2.825054039902448
W1,forest_plot,ETTm1,96,17,rmse_last,2.935081785190047
W1,forest_plot,ETTm1,96,17,delta_rmse,0.11002774528759884
W1,forest_plot,ETTm1,96,17,delta_rmse_pct,3.748711393419469
W1,forest_plot,ETTm1,96,17,cka_full_mean_per,0.9727325624296552
W1,forest_plot,ETTm1,96,17,cka_full_mean_last,0.9754635037316648
W1,forest_plot,ETTm1,96,17,delta_cka_global,-0.0027309413020095707
W1,forest_plot,ETTm1,96,17,grad_align_mean_per,-0.0004004231994071
W1,forest_plot,ETTm1,96,17,grad_align_mean_last,0.0111174635540335
W1,forest_plot,ETTm1,96,17,delta_grad_align_all,-0.011517886753440601
W1,forest_plot,ETTm1,96,19,rmse_per,2.8119246848101094
W1,forest_plot,ETTm1,96,19,rmse_last,2.975609494132633
W1,forest_plot,ETTm1,96,19,delta_rmse,0.1636848093225236
W1,forest_plot,ETTm1,96,19,delta_rmse_pct,5.500883420532184
W1,forest_plot,ETTm1,96,19,cka_full_mean_per,0.9757725402339982
W1,forest_plot,ETTm1,96,19,cka_full_mean_last,0.9682511233872978
W1,forest_plot,ETTm1,96,19,delta_cka_global,0.0075214168467003795
W1,forest_plot,ETTm1,96,19,grad_align_mean_per,0.0001072866699612
W1,forest_plot,ETTm1,96,19,grad_align_mean_last,-0.0017715745872374
W1,forest_plot,ETTm1,96,19,delta_grad_align_all,0.0018788612571986
W1,forest_plot,ETTm1,96,23,rmse_per,2.824543407979777
W1,forest_plot,ETTm1,96,23,rmse_last,2.960732163528615
W1,forest_plot,ETTm1,96,23,delta_rmse,0.13618875554883791
W1,forest_plot,ETTm1,96,23,delta_rmse_pct,4.599833690681683
W1,forest_plot,ETTm1,96,23,cka_full_mean_per,0.9732563141093474
W1,forest_plot,ETTm1,96,23,cka_full_mean_last,0.96674761914468
W1,forest_plot,ETTm1,96,23,delta_cka_global,0.006508694964667439
W1,forest_plot,ETTm1,96,23,grad_align_mean_per,0.0064394530688372
W1,forest_plot,ETTm1,96,23,grad_align_mean_last,-0.0063302827724132
W1,forest_plot,ETTm1,96,23,delta_grad_align_all,0.0127697358412504
W1,forest_plot,ETTm1,192,42,rmse_per,3.0690213271885685
W1,forest_plot,ETTm1,192,42,rmse_last,3.1693038667050715
W1,forest_plot,ETTm1,192,42,delta_rmse,0.10028253951650301
W1,forest_plot,ETTm1,192,42,delta_rmse_pct,3.164181906633034
W1,forest_plot,ETTm1,192,42,cka_full_mean_per,0.9790884224113116
W1,forest_plot,ETTm1,192,42,cka_full_mean_last,0.9238026664235994
W1,forest_plot,ETTm1,192,42,delta_cka_global,0.055285755987712126
W1,forest_plot,ETTm1,192,42,grad_align_mean_per,0.0003503395459621
W1,forest_plot,ETTm1,192,42,grad_align_mean_last,-0.0009235424064842
W1,forest_plot,ETTm1,192,42,delta_grad_align_all,0.0012738819524463
W1,forest_plot,ETTm1,192,2,rmse_per,3.069257326785244
W1,forest_plot,ETTm1,192,2,rmse_last,3.15981612479348
W1,forest_plot,ETTm1,192,2,delta_rmse,0.09055879800823607
W1,forest_plot,ETTm1,192,2,delta_rmse_pct,2.865951512104358
W1,forest_plot,ETTm1,192,2,cka_full_mean_per,0.967748796684397
W1,forest_plot,ETTm1,192,2,cka_full_mean_last,0.9044460570033668
W1,forest_plot,ETTm1,192,2,delta_cka_global,0.06330273968103017
W1,forest_plot,ETTm1,192,2,grad_align_mean_per,-0.0029776395285938
W1,forest_plot,ETTm1,192,2,grad_align_mean_last,0.0002926102158185
W1,forest_plot,ETTm1,192,2,delta_grad_align_all,-0.0032702497444123003
W1,forest_plot,ETTm1,192,3,rmse_per,3.075811300792208
W1,forest_plot,ETTm1,192,3,rmse_last,3.1854865502891005
W1,forest_plot,ETTm1,192,3,delta_rmse,0.10967524949689267
W1,forest_plot,ETTm1,192,3,delta_rmse_pct,3.442966961732707
W1,forest_plot,ETTm1,192,3,cka_full_mean_per,0.9565065935949548
W1,forest_plot,ETTm1,192,3,cka_full_mean_last,0.9614870612297696
W1,forest_plot,ETTm1,192,3,delta_cka_global,-0.004980467634814745
W1,forest_plot,ETTm1,192,3,grad_align_mean_per,-0.0027461644430937
W1,forest_plot,ETTm1,192,3,grad_align_mean_last,0.0013094346311525
W1,forest_plot,ETTm1,192,3,delta_grad_align_all,-0.0040555990742461995
W1,forest_plot,ETTm1,192,5,rmse_per,3.070845928882318
W1,forest_plot,ETTm1,192,5,rmse_last,3.20420127092649
W1,forest_plot,ETTm1,192,5,delta_rmse,0.133355342044172
W1,forest_plot,ETTm1,192,5,delta_rmse_pct,4.161890304899995
W1,forest_plot,ETTm1,192,5,cka_full_mean_per,0.9650335350438426
W1,forest_plot,ETTm1,192,5,cka_full_mean_last,0.937636860811664
W1,forest_plot,ETTm1,192,5,delta_cka_global,0.02739667423217862
W1,forest_plot,ETTm1,192,5,grad_align_mean_per,0.0007333428118614
W1,forest_plot,ETTm1,192,5,grad_align_mean_last,-0.0020767345601075
W1,forest_plot,ETTm1,192,5,delta_grad_align_all,0.0028100773719689004
W1,forest_plot,ETTm1,192,7,rmse_per,3.0890351405690435
W1,forest_plot,ETTm1,192,7,rmse_last,3.1835961464714906
