experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,ETTh2,grad_align_bar,96,19,per_layer,1,S,-0.010012
W1,ETTh2,grad_align_bar,96,19,per_layer,2,M,0.007077
W1,ETTh2,grad_align_bar,96,19,per_layer,3,M,-0.0144
W1,ETTh2,grad_align_bar,96,19,per_layer,4,D,0.011955
W1,ETTh2,grad_align_bar,96,19,per_layer,5,D,-0.007412
W1,ETTh2,grad_align_bar,96,19,per_layer,6,D,-0.009104
W1,ETTh2,grad_align_bar,96,19,last_layer,0,S,0.005255
W1,ETTh2,grad_align_bar,96,19,last_layer,1,S,0.009634
W1,ETTh2,grad_align_bar,96,19,last_layer,2,M,0.003123
W1,ETTh2,grad_align_bar,96,19,last_layer,3,M,0.005401
W1,ETTh2,grad_align_bar,96,19,last_layer,4,D,0.002758
W1,ETTh2,grad_align_bar,96,19,last_layer,5,D,0.010232
W1,ETTh2,grad_align_bar,96,19,last_layer,6,D,0.002875
W1,ETTh2,grad_align_bar,96,23,per_layer,0,S,0.002353
W1,ETTh2,grad_align_bar,96,23,per_layer,1,S,-0.009072
W1,ETTh2,grad_align_bar,96,23,per_layer,2,M,0.001889
W1,ETTh2,grad_align_bar,96,23,per_layer,3,M,0.027202
W1,ETTh2,grad_align_bar,96,23,per_layer,4,D,-0.001843
W1,ETTh2,grad_align_bar,96,23,per_layer,5,D,-0.013374
W1,ETTh2,grad_align_bar,96,23,per_layer,6,D,-0.001331
W1,ETTh2,grad_align_bar,96,23,last_layer,0,S,0.00439
W1,ETTh2,grad_align_bar,96,23,last_layer,1,S,-0.002173
W1,ETTh2,grad_align_bar,96,23,last_layer,2,M,-0.004807
W1,ETTh2,grad_align_bar,96,23,last_layer,3,M,0.005307
W1,ETTh2,grad_align_bar,96,23,last_layer,4,D,0.000386
W1,ETTh2,grad_align_bar,96,23,last_layer,5,D,0.004629
W1,ETTh2,grad_align_bar,96,23,last_layer,6,D,-0.001856
W1,ETTh2,grad_align_bar,192,42,per_layer,0,S,-0.00321
W1,ETTh2,grad_align_bar,192,42,per_layer,1,S,0.005929
W1,ETTh2,grad_align_bar,192,42,per_layer,2,M,-0.005838
W1,ETTh2,grad_align_bar,192,42,per_layer,3,M,-0.012533
W1,ETTh2,grad_align_bar,192,42,per_layer,4,D,-0.000666
W1,ETTh2,grad_align_bar,192,42,per_layer,5,D,0.004436
W1,ETTh2,grad_align_bar,192,42,per_layer,6,D,0.000368
W1,ETTh2,grad_align_bar,192,42,last_layer,0,S,-0.007982
W1,ETTh2,grad_align_bar,192,42,last_layer,1,S,8.9e-05
W1,ETTh2,grad_align_bar,192,42,last_layer,2,M,0.004308
W1,ETTh2,grad_align_bar,192,42,last_layer,3,M,0.000369
W1,ETTh2,grad_align_bar,192,42,last_layer,4,D,0.001284
W1,ETTh2,grad_align_bar,192,42,last_layer,5,D,0.013326
W1,ETTh2,grad_align_bar,192,42,last_layer,6,D,0.013979
W1,ETTh2,grad_align_bar,192,2,per_layer,0,S,-0.006654
W1,ETTh2,grad_align_bar,192,2,per_layer,1,S,-0.021163
W1,ETTh2,grad_align_bar,192,2,per_layer,2,M,-0.008214
W1,ETTh2,grad_align_bar,192,2,per_layer,3,M,-0.003149
W1,ETTh2,grad_align_bar,192,2,per_layer,4,D,0.003347
