experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,ETTm1,cka_heatmap,96,2,per_layer,0,6,S,D,0.894023
W1,ETTm1,cka_heatmap,96,2,per_layer,1,1,S,S,0.99368
W1,ETTm1,cka_heatmap,96,2,per_layer,1,2,S,M,0.987941
W1,ETTm1,cka_heatmap,96,2,per_layer,1,3,S,M,0.961942
W1,ETTm1,cka_heatmap,96,2,per_layer,1,4,S,D,0.927036
W1,ETTm1,cka_heatmap,96,2,per_layer,1,5,S,D,0.907537
W1,ETTm1,cka_heatmap,96,2,per_layer,1,6,S,D,0.912352
W1,ETTm1,cka_heatmap,96,2,per_layer,2,2,M,M,0.994347
W1,ETTm1,cka_heatmap,96,2,per_layer,2,3,M,M,0.976437
W1,ETTm1,cka_heatmap,96,2,per_layer,2,4,M,D,0.947748
W1,ETTm1,cka_heatmap,96,2,per_layer,2,5,M,D,0.930383
W1,ETTm1,cka_heatmap,96,2,per_layer,2,6,M,D,0.929676
W1,ETTm1,cka_heatmap,96,2,per_layer,3,3,M,M,0.991954
W1,ETTm1,cka_heatmap,96,2,per_layer,3,4,M,D,0.974703
W1,ETTm1,cka_heatmap,96,2,per_layer,3,5,M,D,0.961094
W1,ETTm1,cka_heatmap,96,2,per_layer,3,6,M,D,0.951979
W1,ETTm1,cka_heatmap,96,2,per_layer,4,4,D,D,0.983095
W1,ETTm1,cka_heatmap,96,2,per_layer,4,5,D,D,0.972803
W1,ETTm1,cka_heatmap,96,2,per_layer,4,6,D,D,0.955542
W1,ETTm1,cka_heatmap,96,2,per_layer,5,5,D,D,0.973485
W1,ETTm1,cka_heatmap,96,2,per_layer,5,6,D,D,0.955168
W1,ETTm1,cka_heatmap,96,2,per_layer,6,6,D,D,0.951247
W1,ETTm1,cka_heatmap,96,2,last_layer,0,0,S,S,0.989153
W1,ETTm1,cka_heatmap,96,2,last_layer,0,1,S,S,0.971652
W1,ETTm1,cka_heatmap,96,2,last_layer,0,2,S,M,0.967124
W1,ETTm1,cka_heatmap,96,2,last_layer,0,3,S,M,0.956995
W1,ETTm1,cka_heatmap,96,2,last_layer,0,4,S,D,0.947647
W1,ETTm1,cka_heatmap,96,2,last_layer,0,5,S,D,0.951524
W1,ETTm1,cka_heatmap,96,2,last_layer,0,6,S,D,0.958764
W1,ETTm1,cka_heatmap,96,2,last_layer,1,1,S,S,0.972565
W1,ETTm1,cka_heatmap,96,2,last_layer,1,2,S,M,0.967757
W1,ETTm1,cka_heatmap,96,2,last_layer,1,3,S,M,0.957266
W1,ETTm1,cka_heatmap,96,2,last_layer,1,4,S,D,0.947669
W1,ETTm1,cka_heatmap,96,2,last_layer,1,5,S,D,0.951446
W1,ETTm1,cka_heatmap,96,2,last_layer,1,6,S,D,0.95869
W1,ETTm1,cka_heatmap,96,2,last_layer,2,2,M,M,0.965312
W1,ETTm1,cka_heatmap,96,2,last_layer,2,3,M,M,0.953209
W1,ETTm1,cka_heatmap,96,2,last_layer,2,4,M,D,0.942749
W1,ETTm1,cka_heatmap,96,2,last_layer,2,5,M,D,0.946686
W1,ETTm1,cka_heatmap,96,2,last_layer,2,6,M,D,0.954586
W1,ETTm1,cka_heatmap,96,2,last_layer,3,3,M,M,0.951944
