experiment_type,dataset,plot_type,horizon,seed,mode,depth_cnn,depth_gru,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,n_pairs,nan_frac
W1,ETTm1,cka_heatmap,96,13,per_layer,7,7,0.9892582936910904,0.9913267878159904,0.9548635485148828,0.9749097770241596,0.9777636448243427,49,0.0
W1,ETTm1,cka_heatmap,96,13,last_layer,7,7,0.9755501375938448,0.9706808552424108,0.9632406699170648,0.969163447642996,0.967965698228264,49,0.0
W1,ETTm1,cka_heatmap,96,17,per_layer,7,7,0.9915302643480478,0.9889281580943884,0.973625935565325,0.9837298522147968,0.9727325624296552,49,0.0
W1,ETTm1,cka_heatmap,96,17,last_layer,7,7,0.98028904232745,0.9760265768085996,0.9748940440584152,0.9770114511975224,0.9754635037316648,49,0.0
W1,ETTm1,cka_heatmap,96,19,per_layer,7,7,0.9926060878453722,0.9882960271709108,0.9782905805439308,0.9857904968658834,0.9757725402339982,49,0.0
W1,ETTm1,cka_heatmap,96,19,last_layer,7,7,0.979354388953765,0.9662248428434728,0.965365570980668,0.9698783671432756,0.9682511233872978,49,0.0
W1,ETTm1,cka_heatmap,96,23,per_layer,7,7,0.9941755573654072,0.9917018675885154,0.981166454897822,0.9897752478873226,0.9732563141093474,49,0.0
W1,ETTm1,cka_heatmap,96,23,last_layer,7,7,0.9801594385599668,0.9709913829785264,0.9564934489019704,0.9674006811241788,0.96674761914468,49,0.0
W1,ETTm1,cka_heatmap,192,42,per_layer,7,7,0.982805178516329,0.98351845080471,0.9819389347899375,0.9836273921177294,0.9790884224113116,49,0.0
W1,ETTm1,cka_heatmap,192,42,last_layer,7,7,0.9758969676803392,0.9358050766373504,0.8807546257242119,0.923921083474092,0.9238026664235994,49,0.0
W1,ETTm1,cka_heatmap,192,2,per_layer,7,7,0.979973807879418,0.9839845287320036,0.9746807895334488,0.9804367605585896,0.967748796684397,49,0.0
W1,ETTm1,cka_heatmap,192,2,last_layer,7,7,0.9677354104652152,0.9270665781889976,0.8471365344929215,0.9046701399736462,0.9044460570033668,49,0.0
W1,ETTm1,cka_heatmap,192,3,per_layer,7,7,0.9864879192387174,0.9871409563966278,0.9273852179811992,0.963360631278634,0.9565065935949548,49,0.0
W1,ETTm1,cka_heatmap,192,3,last_layer,7,7,0.9775355344532974,0.9499768616780548,0.9594300994349914,0.9622126786139136,0.9614870612297696,49,0.0
