experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,ETTm1,grad_align_bar,96,17,last_layer,2,M,0.004612
W1,ETTm1,grad_align_bar,96,17,last_layer,3,M,0.017023
W1,ETTm1,grad_align_bar,96,17,last_layer,4,D,-0.003376
W1,ETTm1,grad_align_bar,96,17,last_layer,5,D,0.020567
W1,ETTm1,grad_align_bar,96,17,last_layer,6,D,0.045568
W1,ETTm1,grad_align_bar,96,19,per_layer,0,S,0.001084
W1,ETTm1,grad_align_bar,96,19,per_layer,1,S,-0.012675
W1,ETTm1,grad_align_bar,96,19,per_layer,2,M,0.00166
W1,ETTm1,grad_align_bar,96,19,per_layer,3,M,0.008046
W1,ETTm1,grad_align_bar,96,19,per_layer,4,D,0.02139
W1,ETTm1,grad_align_bar,96,19,per_layer,5,D,-0.012268
W1,ETTm1,grad_align_bar,96,19,per_layer,6,D,-0.006486
W1,ETTm1,grad_align_bar,96,19,last_layer,0,S,-0.003092
W1,ETTm1,grad_align_bar,96,19,last_layer,1,S,0.004925
W1,ETTm1,grad_align_bar,96,19,last_layer,2,M,0.004414
W1,ETTm1,grad_align_bar,96,19,last_layer,3,M,-0.005773
W1,ETTm1,grad_align_bar,96,19,last_layer,4,D,-0.007056
W1,ETTm1,grad_align_bar,96,19,last_layer,5,D,0.009319
W1,ETTm1,grad_align_bar,96,19,last_layer,6,D,-0.015137
W1,ETTm1,grad_align_bar,96,23,per_layer,0,S,0.015083
W1,ETTm1,grad_align_bar,96,23,per_layer,1,S,-0.005631
W1,ETTm1,grad_align_bar,96,23,per_layer,2,M,0.001266
W1,ETTm1,grad_align_bar,96,23,per_layer,3,M,0.013958
W1,ETTm1,grad_align_bar,96,23,per_layer,4,D,-0.004587
W1,ETTm1,grad_align_bar,96,23,per_layer,5,D,0.011926
W1,ETTm1,grad_align_bar,96,23,per_layer,6,D,0.013061
W1,ETTm1,grad_align_bar,96,23,last_layer,0,S,0.003529
W1,ETTm1,grad_align_bar,96,23,last_layer,1,S,-0.014421
W1,ETTm1,grad_align_bar,96,23,last_layer,2,M,0.004928
W1,ETTm1,grad_align_bar,96,23,last_layer,3,M,-0.009759
W1,ETTm1,grad_align_bar,96,23,last_layer,4,D,0.004345
W1,ETTm1,grad_align_bar,96,23,last_layer,5,D,-0.02099
W1,ETTm1,grad_align_bar,96,23,last_layer,6,D,-0.011944
W1,ETTm1,grad_align_bar,192,42,per_layer,0,S,-0.01221
W1,ETTm1,grad_align_bar,192,42,per_layer,1,S,0.01123
W1,ETTm1,grad_align_bar,192,42,per_layer,2,M,0.004931
W1,ETTm1,grad_align_bar,192,42,per_layer,3,M,-0.001807
W1,ETTm1,grad_align_bar,192,42,per_layer,4,D,-0.001014
W1,ETTm1,grad_align_bar,192,42,per_layer,5,D,0.001019
W1,ETTm1,grad_align_bar,192,42,per_layer,6,D,0.000303
W1,ETTm1,grad_align_bar,192,42,last_layer,0,S,0.005492
W1,ETTm1,grad_align_bar,192,42,last_layer,1,S,-0.002533
W1,ETTm1,grad_align_bar,192,42,last_layer,2,M,-0.006924
W1,ETTm1,grad_align_bar,192,42,last_layer,3,M,0.000694
W1,ETTm1,grad_align_bar,192,42,last_layer,4,D,0.006618
W1,ETTm1,grad_align_bar,192,42,last_layer,5,D,0.005449
W1,ETTm1,grad_align_bar,192,42,last_layer,6,D,-0.01526
W1,ETTm1,grad_align_bar,192,2,per_layer,0,S,-0.00547
W1,ETTm1,grad_align_bar,192,2,per_layer,1,S,0.000487
W1,ETTm1,grad_align_bar,192,2,per_layer,2,M,-0.006509
W1,ETTm1,grad_align_bar,192,2,per_layer,3,M,0.002117
W1,ETTm1,grad_align_bar,192,2,per_layer,4,D,-0.01513
W1,ETTm1,grad_align_bar,192,2,per_layer,5,D,0.006032
W1,ETTm1,grad_align_bar,192,2,per_layer,6,D,-0.002369
W1,ETTm1,grad_align_bar,192,2,last_layer,0,S,0.002558
W1,ETTm1,grad_align_bar,192,2,last_layer,1,S,0.001911
W1,ETTm1,grad_align_bar,192,2,last_layer,2,M,0.000582
W1,ETTm1,grad_align_bar,192,2,last_layer,3,M,0.001358
W1,ETTm1,grad_align_bar,192,2,last_layer,4,D,-0.004129
W1,ETTm1,grad_align_bar,192,2,last_layer,5,D,-0.005826
W1,ETTm1,grad_align_bar,192,2,last_layer,6,D,0.005594
W1,ETTm1,grad_align_bar,192,3,per_layer,0,S,-0.005901
W1,ETTm1,grad_align_bar,192,3,per_layer,1,S,0.005102
W1,ETTm1,grad_align_bar,192,3,per_layer,2,M,-0.013796
W1,ETTm1,grad_align_bar,192,3,per_layer,3,M,0.000583
W1,ETTm1,grad_align_bar,192,3,per_layer,4,D,0.000603
W1,ETTm1,grad_align_bar,192,3,per_layer,5,D,-0.00505
W1,ETTm1,grad_align_bar,192,3,per_layer,6,D,-0.000764
W1,ETTm1,grad_align_bar,192,3,last_layer,0,S,0.00188
W1,ETTm1,grad_align_bar,192,3,last_layer,1,S,0.002942
W1,ETTm1,grad_align_bar,192,3,last_layer,2,M,-0.006478
W1,ETTm1,grad_align_bar,192,3,last_layer,3,M,0.00211
W1,ETTm1,grad_align_bar,192,3,last_layer,4,D,0.003346
W1,ETTm1,grad_align_bar,192,3,last_layer,5,D,-0.003726
W1,ETTm1,grad_align_bar,192,3,last_layer,6,D,0.009092
W1,ETTm1,grad_align_bar,192,5,per_layer,0,S,0.0112
W1,ETTm1,grad_align_bar,192,5,per_layer,1,S,9.1e-05
W1,ETTm1,grad_align_bar,192,5,per_layer,2,M,-0.011917
W1,ETTm1,grad_align_bar,192,5,per_layer,3,M,0.001241
W1,ETTm1,grad_align_bar,192,5,per_layer,4,D,-0.003672
W1,ETTm1,grad_align_bar,192,5,per_layer,5,D,0.010956
W1,ETTm1,grad_align_bar,192,5,per_layer,6,D,-0.002765
W1,ETTm1,grad_align_bar,192,5,last_layer,0,S,0.00355
W1,ETTm1,grad_align_bar,192,5,last_layer,1,S,-0.00397
W1,ETTm1,grad_align_bar,192,5,last_layer,2,M,0.004023
W1,ETTm1,grad_align_bar,192,5,last_layer,3,M,-0.002039
W1,ETTm1,grad_align_bar,192,5,last_layer,4,D,-0.012381
W1,ETTm1,grad_align_bar,192,5,last_layer,5,D,-0.009629
W1,ETTm1,grad_align_bar,192,5,last_layer,6,D,0.005908
W1,ETTm1,grad_align_bar,192,7,per_layer,0,S,0.000926
W1,ETTm1,grad_align_bar,192,7,per_layer,1,S,-0.008676
W1,ETTm1,grad_align_bar,192,7,per_layer,2,M,-0.011907
W1,ETTm1,grad_align_bar,192,7,per_layer,3,M,0.000803
W1,ETTm1,grad_align_bar,192,7,per_layer,4,D,-0.004691
W1,ETTm1,grad_align_bar,192,7,per_layer,5,D,0.00108
W1,ETTm1,grad_align_bar,192,7,per_layer,6,D,0.004168
W1,ETTm1,grad_align_bar,192,7,last_layer,0,S,0.003033
W1,ETTm1,grad_align_bar,192,7,last_layer,1,S,0.00172
W1,ETTm1,grad_align_bar,192,7,last_layer,2,M,0.004236
W1,ETTm1,grad_align_bar,192,7,last_layer,3,M,0.003305
W1,ETTm1,grad_align_bar,192,7,last_layer,4,D,-0.0018
W1,ETTm1,grad_align_bar,192,7,last_layer,5,D,0.00729
W1,ETTm1,grad_align_bar,192,7,last_layer,6,D,0.020547
W1,ETTm1,grad_align_bar,192,11,per_layer,0,S,0.020603
W1,ETTm1,grad_align_bar,192,11,per_layer,1,S,-0.005046
W1,ETTm1,grad_align_bar,192,11,per_layer,2,M,-0.003818
W1,ETTm1,grad_align_bar,192,11,per_layer,3,M,0.001294
W1,ETTm1,grad_align_bar,192,11,per_layer,4,D,-0.012288
W1,ETTm1,grad_align_bar,192,11,per_layer,5,D,-0.004776
W1,ETTm1,grad_align_bar,192,11,per_layer,6,D,0.015699
W1,ETTm1,grad_align_bar,192,11,last_layer,0,S,-0.001014
W1,ETTm1,grad_align_bar,192,11,last_layer,1,S,0.002035
