experiment_type,dataset,plot_type,horizon,seed,mode,model_tag,run_tag,tod,stage,gate_mean,sample_count
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,17,M,0.4974725819192827,70
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,18,M,0.4974725819192827,70
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,19,M,0.4974725819192827,139
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,20,M,,0
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,21,M,0.4974725819192827,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,22,M,0.4974725819192827,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,23,M,0.4974725819192827,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,0,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,1,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,2,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,3,D,0.4938291627913713,69
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,4,D,0.4938291627913713,138
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,5,D,,0
W3,ETTh2,gate_tod_heatmap,96,42,tod_shift,HyperConv,W3_ETTh2_96_42_tod_shift,6,D,0.4938291627913713,138
