experiment_type,dataset,horizon,seed,model_tag,mode,run_tag,window_index,mse
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,102,11.656688
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,103,12.159713
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,104,12.07424
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,105,12.338257
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,106,12.522056
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,107,12.650579
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,108,12.329379
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,109,12.074934
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,110,12.084468
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,111,11.9409075
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,112,12.183513
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,113,12.070979
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,114,12.236528
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,115,12.300654
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,116,12.524983
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,117,12.078853
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,118,11.826236
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,119,12.335246
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,120,12.121516
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,121,12.068698
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,122,11.939079
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,123,12.174004
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,124,12.0974865
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,125,11.692354
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,126,11.828792
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,127,11.7283325
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,128,11.90237
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,129,11.97482
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,130,12.288871
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,131,12.183181
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,132,12.116414
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,133,12.39528
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,134,12.469869
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,135,12.534985
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,136,12.232206
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,137,12.170711
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,138,11.823174
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,139,12.142868
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,140,12.329485
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,141,12.460271
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,142,12.419505
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,143,12.603205
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,144,13.024731
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,145,12.980713
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,146,13.163075
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,147,12.891139
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,148,12.927309
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,149,12.794734
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,150,12.888226
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,151,13.335907
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,152,13.459106
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,153,13.185317
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,154,13.238697
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,155,13.392217
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,156,13.39066
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,157,13.215668
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,158,12.956296
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,159,13.109888
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,160,13.46555
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,161,12.8108015
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,162,12.988434
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,163,12.656062
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,164,12.132782
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,165,12.226685
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,166,12.19094
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,167,12.236094
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,168,12.161774
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,169,11.852162
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,170,12.255185
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,171,11.530129
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,172,11.243995
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,173,11.628485
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,174,11.432195
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,175,11.564617
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,176,12.2416935
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,177,12.908375
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,178,13.180467
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,179,14.273872
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,180,15.082319
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,181,16.658756
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,182,17.034824
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,183,17.495419
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,184,17.930956
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,185,18.288359
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,186,17.86632
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,187,18.620419
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,188,19.171564
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,189,18.778616
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,190,18.468618
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,191,19.136105
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,192,18.445076
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,193,17.817543
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,194,16.519066
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,195,15.829312
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,196,15.172407
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,197,13.732369
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,198,12.014699
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,199,10.528477
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,200,9.193825
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,201,8.82548
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,202,8.757077
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,203,8.962177
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,204,8.6273365
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,205,8.30887
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,206,8.15016
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,207,7.884721
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,208,7.6808767
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,209,7.883506
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,210,7.8791084
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,211,7.880811
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,212,7.914449
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,213,7.7965765
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,214,7.748771
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,215,7.848571
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,216,7.6339235
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,217,7.6171584
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,218,8.013713
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,219,8.068839
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,220,7.9397254
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,221,8.087837
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,222,7.928339
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,223,7.9040017
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,224,8.191632
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,225,8.305931
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,226,8.359483
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,227,8.772546
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,228,8.880885
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,229,9.005781
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,230,8.689087
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,231,8.740074
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,232,9.585487
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,233,9.299838
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,234,9.425431
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,235,9.713094
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,236,9.918861
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,237,11.242623
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,238,10.872164
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,239,11.083193
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,240,10.544817
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,241,10.125285
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,242,10.549698
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,243,11.10049
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,244,10.953153
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,245,10.990262
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,246,11.206059
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,247,11.493739
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,248,11.0829115
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,249,11.180088
W3,ETTm2,96,42,HyperConv,none,W3_ETTm2_96_42_none,250,11.145994
