experiment_type,dataset,plot_type,horizon,seed,mode,grad_align_s,grad_align_m,grad_align_d,grad_align_mean
W1,weather,grad_align_bar,192,11,per_layer,0.0003825855292544,-0.0003439092278459,0.001973351904557,0.0008567726166411
W1,weather,grad_align_bar,192,11,last_layer,-0.0048467026545919,-0.0043283038239327,-0.0070988480586344,-0.0056637938761361
W1,weather,grad_align_bar,192,13,per_layer,0.0050340592415935,0.0102776181376291,0.0009893283932186,0.0047987628483001
W1,weather,grad_align_bar,192,13,last_layer,-0.0072354477030421,0.0020524170748293,0.0056087664020475,0.0009228911356738
W1,weather,grad_align_bar,192,17,per_layer,0.0129697841569363,0.0041968087098456,-0.0100414980830005,0.0006012416406517
W1,weather,grad_align_bar,192,17,last_layer,0.0059054757168251,0.0005082618406497,0.001464897050484,0.0024603094666288
W1,weather,grad_align_bar,192,19,per_layer,-0.0038218518806845,-0.0035359274709713,-0.0014319380399566,-0.0027159104033116
W1,weather,grad_align_bar,192,19,last_layer,0.0024171378052624,-0.0060153144531403,0.0052346482011845,0.0012153701868282
W1,weather,grad_align_bar,192,23,per_layer,-0.0073031618204237,-0.003054335402656,0.004328493243747,-0.0011042163878454
W1,weather,grad_align_bar,192,23,last_layer,-0.0007142279238968,0.0048431329774566,-0.0023869050167861,0.0001567278652516
W1,weather,grad_align_bar,336,42,per_layer,0.0023742940883734,-0.0021713078370918,0.0035193272691799,0.0015662791871575
W1,weather,grad_align_bar,336,42,last_layer,-0.0042919115131797,-0.0029350476865301,0.0058029704257969,0.0004221418397101
W1,weather,grad_align_bar,336,2,per_layer,-0.0021651203007665,-0.0052900697476473,0.0031100133893497,-0.0007971914183969
W1,weather,grad_align_bar,336,2,last_layer,0.0018873941191429,-0.0011390685869291,-0.0007960815095148,-0.0001273704948738
W1,weather,grad_align_bar,336,3,per_layer,-0.005991831532759,0.0031624062422482,0.0027545774217353,0.0003721259548835
W1,weather,grad_align_bar,336,3,last_layer,0.002886270058808,0.0013169785427606,0.0080371443752061,0.0046454186183936
W1,weather,grad_align_bar,336,5,per_layer,0.0154336946094972,-0.0020046474819822,-0.0004492992251303,0.0036443137970912
W1,weather,grad_align_bar,336,5,last_layer,0.0031982615692053,-0.0116504794895597,0.0008548922190423,-0.0020485370262259
W1,weather,grad_align_bar,336,7,per_layer,-0.005948979048578,-0.0137262417976818,0.0072473147450876,-0.0025154996367509
W1,weather,grad_align_bar,336,7,last_layer,-0.0039684300908358,-0.002158767914294,0.0019072407442764,-0.0009332391110614
W1,weather,grad_align_bar,336,11,per_layer,-5.872071450148224e-05,0.0067221563479208,-0.0034602399750087,0.000420878763116
W1,weather,grad_align_bar,336,11,last_layer,-0.0023797363401713,0.0203751767828977,0.0047210884697724,0.0071648780421099
W1,weather,grad_align_bar,336,13,per_layer,0.0017248106163966,-0.0006421438881744,-0.0002483189339462,0.0002029109506579
W1,weather,grad_align_bar,336,13,last_layer,-0.0081953453315187,0.0018564900941052,-0.0132587817623167,-0.0074934365373967
W1,weather,grad_align_bar,336,17,per_layer,0.0004014517462604,0.0038209992884607,0.001107750385745,0.0016811647466682
W1,weather,grad_align_bar,336,17,last_layer,-0.0041539860523384,0.003722363433391,-0.0009525321037823,-0.0005315487927488
W1,weather,grad_align_bar,336,19,per_layer,0.0098589110281321,-0.000638838723075,-0.0046344537713455,0.0006481118994396
W1,weather,grad_align_bar,336,19,last_layer,-0.0044098158071185,-0.0045038039510697,0.0121345756901716,0.0026537839363054
W1,weather,grad_align_bar,336,23,per_layer,-0.0090797263038668,-0.0105453631784733,-0.0034037229133105,-0.0070659068149445
W1,weather,grad_align_bar,336,23,last_layer,-0.0053228418635634,0.0005934373201271,-0.0117096246669699,-0.0063696690125403
