experiment_type,dataset,plot_type,horizon,seed,mode,layer_idx,depth_bin,grad_align_value
W1,weather,grad_align_bar,192,42,last_layer,1,S,-0.003872
W1,weather,grad_align_bar,192,42,last_layer,2,M,-0.006829
W1,weather,grad_align_bar,192,42,last_layer,3,M,-8.9e-05
W1,weather,grad_align_bar,192,42,last_layer,4,D,-0.003611
W1,weather,grad_align_bar,192,42,last_layer,5,D,0.022649
W1,weather,grad_align_bar,192,42,last_layer,6,D,-0.013758
W1,weather,grad_align_bar,192,2,per_layer,0,S,0.00887
W1,weather,grad_align_bar,192,2,per_layer,1,S,-0.005002
W1,weather,grad_align_bar,192,2,per_layer,2,M,-0.004431
W1,weather,grad_align_bar,192,2,per_layer,3,M,-0.00401
W1,weather,grad_align_bar,192,2,per_layer,4,D,0.004094
W1,weather,grad_align_bar,192,2,per_layer,5,D,0.004786
W1,weather,grad_align_bar,192,2,per_layer,6,D,-0.001293
W1,weather,grad_align_bar,192,2,last_layer,0,S,-0.002436
W1,weather,grad_align_bar,192,2,last_layer,1,S,0.00233
W1,weather,grad_align_bar,192,2,last_layer,2,M,-0.004212
W1,weather,grad_align_bar,192,2,last_layer,3,M,-0.005996
W1,weather,grad_align_bar,192,2,last_layer,4,D,-0.018554
W1,weather,grad_align_bar,192,2,last_layer,5,D,-0.012754
W1,weather,grad_align_bar,192,2,last_layer,6,D,0.002627
W1,weather,grad_align_bar,192,3,per_layer,0,S,0.003308
W1,weather,grad_align_bar,192,3,per_layer,1,S,-0.001567
W1,weather,grad_align_bar,192,3,per_layer,2,M,-0.008566
W1,weather,grad_align_bar,192,3,per_layer,3,M,-0.01586
W1,weather,grad_align_bar,192,3,per_layer,4,D,-0.011997
W1,weather,grad_align_bar,192,3,per_layer,5,D,-0.001774
W1,weather,grad_align_bar,192,3,per_layer,6,D,-0.017214
W1,weather,grad_align_bar,192,3,last_layer,0,S,0.001396
W1,weather,grad_align_bar,192,3,last_layer,1,S,-0.002824
W1,weather,grad_align_bar,192,3,last_layer,2,M,-0.005881
W1,weather,grad_align_bar,192,3,last_layer,3,M,0.018733
W1,weather,grad_align_bar,192,3,last_layer,4,D,0.01351
W1,weather,grad_align_bar,192,3,last_layer,5,D,-0.003923
W1,weather,grad_align_bar,192,3,last_layer,6,D,-0.014383
W1,weather,grad_align_bar,192,5,per_layer,0,S,0.007468
W1,weather,grad_align_bar,192,5,per_layer,1,S,-0.018864
W1,weather,grad_align_bar,192,5,per_layer,2,M,-0.004009
W1,weather,grad_align_bar,192,5,per_layer,3,M,-0.004981
W1,weather,grad_align_bar,192,5,per_layer,4,D,-0.009815
W1,weather,grad_align_bar,192,5,per_layer,5,D,-0.002948
W1,weather,grad_align_bar,192,5,per_layer,6,D,-0.003658
W1,weather,grad_align_bar,192,5,last_layer,0,S,-0.006461
W1,weather,grad_align_bar,192,5,last_layer,1,S,-0.001857
W1,weather,grad_align_bar,192,5,last_layer,2,M,0.015517
W1,weather,grad_align_bar,192,5,last_layer,3,M,0.011691
W1,weather,grad_align_bar,192,5,last_layer,4,D,0.012185
W1,weather,grad_align_bar,192,5,last_layer,5,D,0.017484
W1,weather,grad_align_bar,192,5,last_layer,6,D,0.002892
W1,weather,grad_align_bar,192,7,per_layer,0,S,-0.003375
W1,weather,grad_align_bar,192,7,per_layer,1,S,-0.003542
W1,weather,grad_align_bar,192,7,per_layer,2,M,0.01628
W1,weather,grad_align_bar,192,7,per_layer,3,M,0.001969
W1,weather,grad_align_bar,192,7,per_layer,4,D,0.003618
W1,weather,grad_align_bar,192,7,per_layer,5,D,-0.012387
W1,weather,grad_align_bar,192,7,per_layer,6,D,0.01197
W1,weather,grad_align_bar,192,7,last_layer,0,S,-0.003116
W1,weather,grad_align_bar,192,7,last_layer,1,S,0.010818
W1,weather,grad_align_bar,192,7,last_layer,2,M,0.005888
W1,weather,grad_align_bar,192,7,last_layer,3,M,-0.006936
W1,weather,grad_align_bar,192,7,last_layer,4,D,-0.007124
W1,weather,grad_align_bar,192,7,last_layer,5,D,0.005714
W1,weather,grad_align_bar,192,7,last_layer,6,D,-0.000716
W1,weather,grad_align_bar,192,11,per_layer,0,S,-0.011173
W1,weather,grad_align_bar,192,11,per_layer,1,S,0.011938
W1,weather,grad_align_bar,192,11,per_layer,2,M,-0.005876
W1,weather,grad_align_bar,192,11,per_layer,3,M,0.005188
W1,weather,grad_align_bar,192,11,per_layer,4,D,0.006015
W1,weather,grad_align_bar,192,11,per_layer,5,D,0.002332
W1,weather,grad_align_bar,192,11,per_layer,6,D,-0.002427
W1,weather,grad_align_bar,192,11,last_layer,0,S,-0.008234
W1,weather,grad_align_bar,192,11,last_layer,1,S,-0.00146
W1,weather,grad_align_bar,192,11,last_layer,2,M,-0.000696
W1,weather,grad_align_bar,192,11,last_layer,3,M,-0.007961
W1,weather,grad_align_bar,192,11,last_layer,4,D,-0.02113
W1,weather,grad_align_bar,192,11,last_layer,5,D,0.008343
W1,weather,grad_align_bar,192,11,last_layer,6,D,-0.00851
W1,weather,grad_align_bar,192,13,per_layer,0,S,0.019617
W1,weather,grad_align_bar,192,13,per_layer,1,S,-0.009549
W1,weather,grad_align_bar,192,13,per_layer,2,M,0.006821
W1,weather,grad_align_bar,192,13,per_layer,3,M,0.013734
W1,weather,grad_align_bar,192,13,per_layer,4,D,0.020823
W1,weather,grad_align_bar,192,13,per_layer,5,D,-0.007185
W1,weather,grad_align_bar,192,13,per_layer,6,D,-0.01067
W1,weather,grad_align_bar,192,13,last_layer,0,S,-0.010639
W1,weather,grad_align_bar,192,13,last_layer,1,S,-0.003832
W1,weather,grad_align_bar,192,13,last_layer,2,M,-0.001159
W1,weather,grad_align_bar,192,13,last_layer,3,M,0.005264
W1,weather,grad_align_bar,192,13,last_layer,4,D,0.005834
W1,weather,grad_align_bar,192,13,last_layer,5,D,0.00265
W1,weather,grad_align_bar,192,13,last_layer,6,D,0.008342
W1,weather,grad_align_bar,192,17,per_layer,0,S,0.013307
W1,weather,grad_align_bar,192,17,per_layer,1,S,0.012633
W1,weather,grad_align_bar,192,17,per_layer,2,M,0.002309
W1,weather,grad_align_bar,192,17,per_layer,3,M,0.006085
W1,weather,grad_align_bar,192,17,per_layer,4,D,-0.01956
W1,weather,grad_align_bar,192,17,per_layer,5,D,-0.01458
W1,weather,grad_align_bar,192,17,per_layer,6,D,0.004015
W1,weather,grad_align_bar,192,17,last_layer,0,S,0.00423
W1,weather,grad_align_bar,192,17,last_layer,1,S,0.007581
W1,weather,grad_align_bar,192,17,last_layer,2,M,-0.00186
W1,weather,grad_align_bar,192,17,last_layer,3,M,0.002877
W1,weather,grad_align_bar,192,17,last_layer,4,D,0.016562
W1,weather,grad_align_bar,192,17,last_layer,5,D,0.006261
W1,weather,grad_align_bar,192,17,last_layer,6,D,-0.018428
W1,weather,grad_align_bar,192,19,per_layer,0,S,-0.014591
W1,weather,grad_align_bar,192,19,per_layer,1,S,0.006947
W1,weather,grad_align_bar,192,19,per_layer,2,M,-0.006894
W1,weather,grad_align_bar,192,19,per_layer,3,M,-0.000177
W1,weather,grad_align_bar,192,19,per_layer,4,D,-0.005057
W1,weather,grad_align_bar,192,19,per_layer,5,D,0.011372
W1,weather,grad_align_bar,192,19,per_layer,6,D,-0.010611
W1,weather,grad_align_bar,192,19,last_layer,0,S,0.002502
W1,weather,grad_align_bar,192,19,last_layer,1,S,0.002332
W1,weather,grad_align_bar,192,19,last_layer,2,M,-0.003865
W1,weather,grad_align_bar,192,19,last_layer,3,M,-0.008166
W1,weather,grad_align_bar,192,19,last_layer,4,D,0.013789
W1,weather,grad_align_bar,192,19,last_layer,5,D,-0.013183
W1,weather,grad_align_bar,192,19,last_layer,6,D,0.015098
W1,weather,grad_align_bar,192,23,per_layer,0,S,-0.004716
W1,weather,grad_align_bar,192,23,per_layer,1,S,-0.009891
W1,weather,grad_align_bar,192,23,per_layer,2,M,-0.002706
W1,weather,grad_align_bar,192,23,per_layer,3,M,-0.003403
W1,weather,grad_align_bar,192,23,per_layer,4,D,-0.001334
W1,weather,grad_align_bar,192,23,per_layer,5,D,0.017835
W1,weather,grad_align_bar,192,23,per_layer,6,D,-0.003515
W1,weather,grad_align_bar,192,23,last_layer,0,S,0.005053
W1,weather,grad_align_bar,192,23,last_layer,1,S,-0.006481
W1,weather,grad_align_bar,192,23,last_layer,2,M,0.006941
W1,weather,grad_align_bar,192,23,last_layer,3,M,0.002746
W1,weather,grad_align_bar,192,23,last_layer,4,D,0.014143
W1,weather,grad_align_bar,192,23,last_layer,5,D,-0.013342
W1,weather,grad_align_bar,192,23,last_layer,6,D,-0.007962
W1,weather,grad_align_bar,336,42,per_layer,0,S,0.005245
W1,weather,grad_align_bar,336,42,per_layer,1,S,-0.000496
W1,weather,grad_align_bar,336,42,per_layer,2,M,0.000528
W1,weather,grad_align_bar,336,42,per_layer,3,M,-0.00487
W1,weather,grad_align_bar,336,42,per_layer,4,D,0.007511
W1,weather,grad_align_bar,336,42,per_layer,5,D,0.004415
W1,weather,grad_align_bar,336,42,per_layer,6,D,-0.001368
W1,weather,grad_align_bar,336,42,last_layer,0,S,-0.014068
W1,weather,grad_align_bar,336,42,last_layer,1,S,0.005485
W1,weather,grad_align_bar,336,42,last_layer,2,M,0.003148
W1,weather,grad_align_bar,336,42,last_layer,3,M,-0.009018
W1,weather,grad_align_bar,336,42,last_layer,4,D,0.00657
W1,weather,grad_align_bar,336,42,last_layer,5,D,0.001852
W1,weather,grad_align_bar,336,42,last_layer,6,D,0.008987
W1,weather,grad_align_bar,336,2,per_layer,0,S,-0.000266
W1,weather,grad_align_bar,336,2,per_layer,1,S,-0.004064
W1,weather,grad_align_bar,336,2,per_layer,2,M,0.001885
W1,weather,grad_align_bar,336,2,per_layer,3,M,-0.012465
W1,weather,grad_align_bar,336,2,per_layer,4,D,0.007064
W1,weather,grad_align_bar,336,2,per_layer,5,D,0.007545
W1,weather,grad_align_bar,336,2,per_layer,6,D,-0.005279
W1,weather,grad_align_bar,336,2,last_layer,0,S,0.007545
W1,weather,grad_align_bar,336,2,last_layer,1,S,-0.00377
W1,weather,grad_align_bar,336,2,last_layer,2,M,-0.00337
W1,weather,grad_align_bar,336,2,last_layer,3,M,0.001092
W1,weather,grad_align_bar,336,2,last_layer,4,D,-0.002393
W1,weather,grad_align_bar,336,2,last_layer,5,D,-0.016099
W1,weather,grad_align_bar,336,2,last_layer,6,D,0.016104
W1,weather,grad_align_bar,336,3,per_layer,0,S,-0.006376
W1,weather,grad_align_bar,336,3,per_layer,1,S,-0.005607
W1,weather,grad_align_bar,336,3,per_layer,2,M,-0.003106
W1,weather,grad_align_bar,336,3,per_layer,3,M,0.009431
W1,weather,grad_align_bar,336,3,per_layer,4,D,0.008795
