experiment_type,plot_type,dataset,horizon,seed,rmse_per,rmse_last,delta_rmse,delta_rmse_pct,delta_cka_global,delta_grad_align_all,top_pick_score
W1,forest_plot,ETTm1,192,5,3.070845928882318,3.20420127092649,0.133355342044172,4.161890304899995,0.02739667423217862,0.0028100773719689004,2.6183773730710334
W1,forest_plot,ETTm1,192,7,3.0890351405690435,3.1835961464714906,0.09456100590244709,2.970257581422597,0.02856832856577496,-0.0080895320660646,-2.421167392720272
W1,forest_plot,ETTm1,192,11,3.071568821718031,3.174344158770103,0.10277533705207187,3.2376872800047014,0.030404282308764463,0.0028732287514412003,0.742871454613195
W1,forest_plot,ETTm1,192,13,3.0777136823159723,3.1799544238777155,0.10224074156174323,3.215163739267317,0.045299196409472664,0.0019104429412785998,1.1795523818903284
W1,forest_plot,ETTm1,192,17,3.0800275006243125,3.1566749513296504,0.07664745070533785,2.428107166151286,0.004438355056161081,-0.0018729304973389,-3.3435632638052812
W1,forest_plot,ETTm1,192,19,3.071244969377446,3.1542400343175845,0.08299506494013853,2.6312222290366813,0.05211731821903365,0.0086693451394544,1.7528244186106114
W1,forest_plot,ETTm1,192,23,3.072189417413465,3.178936693932158,0.1067472765186932,3.357955404473723,0.017866071192010335,0.0012332300269217,0.0416591209368633
W1,forest_plot,ETTm1,336,42,3.220167421999671,3.3006146812169312,0.08044725921726004,2.4373417374365935,-0.03351005205496638,0.0044892277516012,-1.4691888813320273
W1,forest_plot,ETTm1,336,2,3.215699759782987,3.299295847355752,0.08359608757276504,2.5337554266242543,-0.01814291907018517,0.0017842730374928997,-0.6779491117406049
W1,forest_plot,ETTm1,336,3,3.2289824566546192,3.286489318282439,0.057506861627819816,1.7497960911637356,0.013671195776152167,0.018083028400396398,1.2124587045694317
W1,forest_plot,ETTm1,336,5,3.224410329922048,3.313686662124041,0.08927633220199294,2.694169404199722,-0.004428017664278361,-0.0066531439179897,-0.6150477497743159
W1,forest_plot,ETTm1,336,7,3.2266016627560488,3.30863237414734,0.08203071139129126,2.4792936209007266,-0.018242344577440228,0.004619530030486299,-0.43786733448930004
W1,forest_plot,ETTm1,336,11,3.221451745782145,3.2883611733259763,0.06690942754383133,2.034734751358122,0.0006515569793360543,0.011470718679141099,0.3420957997056109
W1,forest_plot,ETTm1,336,13,3.230096318134533,3.313896172867137,0.08379985473260376,2.5287411059744005,0.016329036991622026,-0.0024078521610714,0.7176737364302516
W1,forest_plot,ETTm1,336,17,3.2245932566507363,3.304752863244328,0.08015960659359189,2.425585510043191,-0.027730049658277967,-0.0041146565311645,-2.3962834960317374
W1,forest_plot,ETTm1,336,19,3.223365363507928,3.3088564717765974,0.08549110826866935,2.5837055489677163,0.014409491564260413,0.0024399446162738005,1.4593992671209606
W1,forest_plot,ETTm1,336,23,3.2239972647851745,3.3269073694586835,0.10291010467350903,3.0932663054653484,-0.01508189705427121,0.0068741534579303,1.864709065541725
W1,forest_plot,ETTm1,720,42,3.324168114102816,3.413453770191615,0.08928565608879913,2.615698412806893,0.004837747056898989,-0.0055545559297172,-0.5897844174324662
W1,forest_plot,ETTm1,720,2,3.307354943979232,3.462669886198176,0.15531494221894437,4.485410025310607,-0.005487342226341285,-0.0026252176065293996,1.2590311459428414
W1,forest_plot,ETTm1,720,3,3.31676151453114,3.395263733318315,0.0785022187871749,2.3121096018791985,-0.007558674754782779,0.0020769322106788,-0.7696807233603036
W1,forest_plot,ETTm1,720,5,3.3106469783445904,3.408373949202185,0.09772697085759452,2.8672608203823984,-0.010688613658279333,-0.0024409722538822,-1.8281417937975148
W1,forest_plot,ETTm1,720,7,3.3349619383691764,3.418640419495748,0.08367848112657139,2.4477122732584444,-0.00781578703026331,0.0053030079328232,0.3374523124283906
W1,forest_plot,ETTm1,720,11,3.312259737334305,3.439880240595756,0.12762050326145102,3.710027510706254,-0.005772513263704981,-0.00360717824088,-0.17948791179282686
W1,forest_plot,ETTm1,720,13,3.334985244237921,3.415999991030548,0.08101474679262699,2.3716260832947555,-0.008632464279904384,-0.00098535916856,-1.7670447585725173
W1,forest_plot,ETTm1,720,17,3.317588209116459,3.4321384579043537,0.11455024878789466,3.3375765632088883,0.005706476545752626,-0.0020827900985652,1.605422958790805
W1,forest_plot,ETTm1,720,19,3.3422390384989384,3.41456499046316,0.07232595196422142,2.1181600633236433,0.006519655897336163,0.0036548621255145996,1.7062475351939468
W1,forest_plot,ETTm1,720,23,3.3152516290551213,3.40463106372096,0.08937943466583853,2.6252311335065697,-0.005293357572648372,0.0026960473787718997,0.22598565259964132
