experiment_type,dataset,plot_type,horizon,seed,mode,cnn_layer,gru_layer,cnn_depth_bin,gru_depth_bin,cka_value
W1,weather,cka_heatmap,96,3,per_layer,0,0,S,S,0.991455
W1,weather,cka_heatmap,96,3,per_layer,0,1,S,S,0.985518
W1,weather,cka_heatmap,96,3,per_layer,0,2,S,M,0.984133
W1,weather,cka_heatmap,96,3,per_layer,0,3,S,M,0.971073
W1,weather,cka_heatmap,96,3,per_layer,0,4,S,D,0.977936
W1,weather,cka_heatmap,96,3,per_layer,0,5,S,D,0.970161
W1,weather,cka_heatmap,96,3,per_layer,0,6,S,D,0.967361
W1,weather,cka_heatmap,96,3,per_layer,1,1,S,S,0.989515
W1,weather,cka_heatmap,96,3,per_layer,1,2,S,M,0.988659
W1,weather,cka_heatmap,96,3,per_layer,1,3,S,M,0.977582
W1,weather,cka_heatmap,96,3,per_layer,1,4,S,D,0.982149
W1,weather,cka_heatmap,96,3,per_layer,1,5,S,D,0.976233
W1,weather,cka_heatmap,96,3,per_layer,1,6,S,D,0.973172
W1,weather,cka_heatmap,96,3,per_layer,2,2,M,M,0.991563
W1,weather,cka_heatmap,96,3,per_layer,2,3,M,M,0.983148
W1,weather,cka_heatmap,96,3,per_layer,2,4,M,D,0.985307
W1,weather,cka_heatmap,96,3,per_layer,2,5,M,D,0.978966
W1,weather,cka_heatmap,96,3,per_layer,2,6,M,D,0.976798
W1,weather,cka_heatmap,96,3,per_layer,3,3,M,M,0.986985
W1,weather,cka_heatmap,96,3,per_layer,3,4,M,D,0.984871
W1,weather,cka_heatmap,96,3,per_layer,3,5,M,D,0.976071
W1,weather,cka_heatmap,96,3,per_layer,3,6,M,D,0.974296
W1,weather,cka_heatmap,96,3,per_layer,4,4,D,D,0.982958
W1,weather,cka_heatmap,96,3,per_layer,4,5,D,D,0.972394
W1,weather,cka_heatmap,96,3,per_layer,4,6,D,D,0.972265
W1,weather,cka_heatmap,96,3,per_layer,5,5,D,D,0.968242
W1,weather,cka_heatmap,96,3,per_layer,5,6,D,D,0.967707
W1,weather,cka_heatmap,96,3,per_layer,6,6,D,D,0.969587
W1,weather,cka_heatmap,96,3,last_layer,0,0,S,S,0.986122
W1,weather,cka_heatmap,96,3,last_layer,0,1,S,S,0.951402
W1,weather,cka_heatmap,96,3,last_layer,0,2,S,M,0.931616
W1,weather,cka_heatmap,96,3,last_layer,0,3,S,M,0.95578
W1,weather,cka_heatmap,96,3,last_layer,0,4,S,D,0.977104
W1,weather,cka_heatmap,96,3,last_layer,0,5,S,D,0.970681
W1,weather,cka_heatmap,96,3,last_layer,0,6,S,D,0.951199
W1,weather,cka_heatmap,96,3,last_layer,1,1,S,S,0.955125
W1,weather,cka_heatmap,96,3,last_layer,1,2,S,M,0.936267
W1,weather,cka_heatmap,96,3,last_layer,1,3,S,M,0.959759
W1,weather,cka_heatmap,96,3,last_layer,1,4,S,D,0.980041
W1,weather,cka_heatmap,96,3,last_layer,1,5,S,D,0.973168
W1,weather,cka_heatmap,96,3,last_layer,1,6,S,D,0.95324
W1,weather,cka_heatmap,96,3,last_layer,2,2,M,M,0.934095
W1,weather,cka_heatmap,96,3,last_layer,2,3,M,M,0.957723
W1,weather,cka_heatmap,96,3,last_layer,2,4,M,D,0.978253
W1,weather,cka_heatmap,96,3,last_layer,2,5,M,D,0.971148
W1,weather,cka_heatmap,96,3,last_layer,2,6,M,D,0.951159
W1,weather,cka_heatmap,96,3,last_layer,3,3,M,M,0.955257
W1,weather,cka_heatmap,96,3,last_layer,3,4,M,D,0.978859
W1,weather,cka_heatmap,96,3,last_layer,3,5,M,D,0.976647
W1,weather,cka_heatmap,96,3,last_layer,3,6,M,D,0.959794
W1,weather,cka_heatmap,96,3,last_layer,4,4,D,D,0.976154
W1,weather,cka_heatmap,96,3,last_layer,4,5,D,D,0.975115
W1,weather,cka_heatmap,96,3,last_layer,4,6,D,D,0.959239
W1,weather,cka_heatmap,96,3,last_layer,5,5,D,D,0.977431
W1,weather,cka_heatmap,96,3,last_layer,5,6,D,D,0.964792
W1,weather,cka_heatmap,96,3,last_layer,6,6,D,D,0.964652
W1,weather,cka_heatmap,96,5,per_layer,0,0,S,S,0.992282
W1,weather,cka_heatmap,96,5,per_layer,0,1,S,S,0.991392
W1,weather,cka_heatmap,96,5,per_layer,0,2,S,M,0.979705
W1,weather,cka_heatmap,96,5,per_layer,0,3,S,M,0.969743
W1,weather,cka_heatmap,96,5,per_layer,0,4,S,D,0.95417
W1,weather,cka_heatmap,96,5,per_layer,0,5,S,D,0.95457
W1,weather,cka_heatmap,96,5,per_layer,0,6,S,D,0.963906
W1,weather,cka_heatmap,96,5,per_layer,1,1,S,S,0.993895
W1,weather,cka_heatmap,96,5,per_layer,1,2,S,M,0.984024
W1,weather,cka_heatmap,96,5,per_layer,1,3,S,M,0.974898
W1,weather,cka_heatmap,96,5,per_layer,1,4,S,D,0.960699
W1,weather,cka_heatmap,96,5,per_layer,1,5,S,D,0.961207
W1,weather,cka_heatmap,96,5,per_layer,1,6,S,D,0.970289
W1,weather,cka_heatmap,96,5,per_layer,2,2,M,M,0.985877
W1,weather,cka_heatmap,96,5,per_layer,2,3,M,M,0.977278
W1,weather,cka_heatmap,96,5,per_layer,2,4,M,D,0.964287
W1,weather,cka_heatmap,96,5,per_layer,2,5,M,D,0.963972
W1,weather,cka_heatmap,96,5,per_layer,2,6,M,D,0.972508
W1,weather,cka_heatmap,96,5,per_layer,3,3,M,M,0.987633
W1,weather,cka_heatmap,96,5,per_layer,3,4,M,D,0.978726
W1,weather,cka_heatmap,96,5,per_layer,3,5,M,D,0.977275
W1,weather,cka_heatmap,96,5,per_layer,3,6,M,D,0.98103
W1,weather,cka_heatmap,96,5,per_layer,4,4,D,D,0.984766
