experiment_type,dataset,plot_type,horizon,seed,mode,depth_cnn,depth_gru,cka_s,cka_m,cka_d,cka_diag_mean,cka_full_mean,n_pairs,nan_frac
W1,weather,cka_heatmap,192,2,per_layer,7,7,0.987411967026426,0.9882136543250192,0.981081190979484,0.986191128270012,0.9758150784780876,49,0.0
W1,weather,cka_heatmap,192,2,last_layer,7,7,0.9741145372504676,0.9507856064963114,0.9390665128885008,0.9527837244181538,0.9515234404014608,49,0.0
W1,weather,cka_heatmap,192,3,per_layer,7,7,0.9951468999134016,0.9932720248206484,0.9575357694180888,0.9808434739082994,0.9648148640071316,49,0.0
W1,weather,cka_heatmap,192,3,last_layer,7,7,0.9759781759123936,0.953104267174501,0.9486180438949556,0.9579795415954412,0.957428045612934,49,0.0
W1,weather,cka_heatmap,192,5,per_layer,7,7,0.9959759096498711,0.9926150740024244,0.9857837488070867,0.991586499179034,0.9853070243209864,49,0.0
W1,weather,cka_heatmap,192,5,last_layer,7,7,0.9818837517637076,0.9636000142930304,0.9494017872194316,0.9627071724799487,0.9625388436609056,49,0.0
W1,weather,cka_heatmap,192,7,per_layer,7,7,0.9939445598703832,0.9841823353285036,0.957719370257022,0.97706667534799,0.9667647265818872,49,0.0
W1,weather,cka_heatmap,192,7,last_layer,7,7,0.9793836255133258,0.95415565264582,0.9475620686073964,0.958838674816049,0.95853318249191,49,0.0
W1,weather,cka_heatmap,192,11,per_layer,7,7,0.9954021724078314,0.9831303465302886,0.969148257411344,0.982363660533738,0.9687759225452934,49,0.0
W1,weather,cka_heatmap,192,11,last_layer,7,7,0.9775325395609404,0.950014510209518,0.9499720529311664,0.958225949136531,0.9561954040831168,49,0.0
W1,weather,cka_heatmap,192,13,per_layer,7,7,0.9937415493173672,0.9941966474972984,0.9810082793783194,0.989565933631468,0.9839366541013324,49,0.0
W1,weather,cka_heatmap,192,13,last_layer,7,7,0.9750512697753246,0.95555177236224,0.9317434468746528,0.9509251889415148,0.9508082059671707,49,0.0
W1,weather,cka_heatmap,192,17,per_layer,7,7,0.994603876709273,0.9927500122037112,0.9771240464220632,0.9889105593006006,0.9776356226429272,49,0.0
W1,weather,cka_heatmap,192,17,last_layer,7,7,0.9800959289226818,0.9612651868891856,0.9439167354218848,0.9590949407150255,0.9588632085537312,49,0.0
W1,weather,cka_heatmap,192,19,per_layer,7,7,0.9937308369449672,0.9898797172549796,0.972938697939086,0.9857194546423684,0.968330779401786,49,0.0
W1,weather,cka_heatmap,192,19,last_layer,7,7,0.9716808782705872,0.9243594592643832,0.768996347401402,0.8711086568793865,0.8725631594681489,49,0.0
W1,weather,cka_heatmap,192,23,per_layer,7,7,0.9953201006748452,0.9956070660775562,0.9833099665014896,0.9915104891418844,0.9820870213456292,49,0.0
W1,weather,cka_heatmap,192,23,last_layer,7,7,0.97739448914021,0.9330396922091544,0.877146079321832,0.9218086455367406,0.9234566566708242,49,0.0
W1,weather,cka_heatmap,336,42,per_layer,7,7,0.9864001657520112,0.983641327565459,0.9825857334250044,0.9844459510767424,0.9847949111638874,49,0.0
W1,weather,cka_heatmap,336,42,last_layer,7,7,0.9758800608004776,0.930782862549672,0.9178970891025836,0.9384099955053968,0.9366902468586236,49,0.0
W1,weather,cka_heatmap,336,2,per_layer,7,7,0.9797750267364488,0.9698231296093116,0.9809137383030192,0.9783346646329436,0.9776525020616508,49,0.0
W1,weather,cka_heatmap,336,2,last_layer,7,7,0.9686729585798656,0.893552072172137,0.8036710786406451,0.8769085766046766,0.877219774851325,49,0.0
W1,weather,cka_heatmap,336,3,per_layer,7,7,0.9875081047717896,0.9869266271443812,0.9659678584574352,0.9789459862322648,0.9802171704059404,49,0.0
W1,weather,cka_heatmap,336,3,last_layer,7,7,0.9774790215940834,0.8627390173572413,0.6013814672529049,0.7839694963953672,0.784458838039985,49,0.0
W1,weather,cka_heatmap,336,5,per_layer,7,7,0.9913334579412648,0.9861248051718322,0.978369675495134,0.9846502823120236,0.9823285622413904,49,0.0
W1,weather,cka_heatmap,336,5,last_layer,7,7,0.9804874133023298,0.9259943160191908,0.9214918293743244,0.9400516540349162,0.9384696138914572,49,0.0
W1,weather,cka_heatmap,336,7,per_layer,7,7,0.9862775894577644,0.9868116330711244,0.9824410853649478,0.9849204888206768,0.9866791572466432,49,0.0
W1,weather,cka_heatmap,336,7,last_layer,7,7,0.9708194914468928,0.9122686009910496,0.8782956807389009,0.9150154111963804,0.9141269811321696,49,0.0
W1,weather,cka_heatmap,336,11,per_layer,7,7,0.9897819257836918,0.985193173320442,0.9760773403945032,0.9828612729739312,0.9829524950053048,49,0.0
W1,weather,cka_heatmap,336,11,last_layer,7,7,0.9704939299771878,0.8895932693859387,0.7555191590533592,0.8556310079596121,0.8562155073311326,49,0.0
W1,weather,cka_heatmap,336,13,per_layer,7,7,0.9867069834511688,0.9687325719391076,0.9753321745160504,0.97698334376334,0.9762582933839274,49,0.0
W1,weather,cka_heatmap,336,13,last_layer,7,7,0.9797867990598844,0.938964904298344,0.9302959912030178,0.9470997320150002,0.9447121925270536,49,0.0
W1,weather,cka_heatmap,336,17,per_layer,7,7,0.9845017843886325,0.9863053955483844,0.9770543046664032,0.9818350874822512,0.9848212048820552,49,0.0
W1,weather,cka_heatmap,336,17,last_layer,7,7,0.9683125278480208,0.9042488648884516,0.889072189798155,0.916495116256322,0.9152429643947948,49,0.0
W1,weather,cka_heatmap,336,19,per_layer,7,7,0.9868315670022384,0.9788089538472292,0.977044930677884,0.9807247976736748,0.9799658652178898,49,0.0
